id,nombre,marca,categoria,descripcion,sku_caja,precio_caja,cantidad_caja,sku_paquete,precio_paquete,cantidad_paquete,unidad,foto,disponible
83,Bolsa c/asa Macrame Kraft Cuadrada Amplia M 24x24x17 cm.,Papel Kraft,Bolsas,Bolsa c/asa Macrame Kraft Cuadrada Amplia M 24x24x17 cm.,065KRAFT,1008.38,100,065KRAFTP,533.60,50,pzas,bolsa-casa-macrame-kraft-cuadrada-amplia-m-24x24x17-cm.jpg,TRUE
84,Bolsa c/asa Macrame Kraft Rect. Bout. CH 22x16x9 cm.,Papel Kraft,Bolsas,Bolsa c/asa Macrame Kraft Rect. Bout. CH 22x16x9 cm.,063KRAFT,916.99,100,063KRAFTP,529.35,50,pzas,bolsa-casa-macrame-kraft-rect-bout-ch-22x16x9-cm.jpg,TRUE
85,Bolsa c/asa Troquelada Kraft Duq. Chica 19x24.5x10 cm.,Papel Kraft,Bolsas,Bolsa c/asa Troquelada Kraft Duq. Chica 19x24.5x10 cm.,059.1KRAFT,1257.46,100,,,,pzas,bolsa-casa-troquelada-kraft-duq-chica-19x245x10-cm.jpg,TRUE
86,Bolsa c/asa Troquelada Kraft Duq. Chica 19x24.5x10 cm.,Papel Kraft,Bolsas,Bolsa c/asa Troquelada Kraft Duq. Chica 19x24.5x10 cm.,059.1,725.90,50,,,,pzas,bolsa-casa-troquelada-kraft-duq-chica-19x245x10-cm.jpg,TRUE
87,Bolsa c/asa Troquelada Kraft Duq. G 30x29x18 cm.,Papel Kraft,Bolsas,Bolsa c/asa Troquelada Kraft Duq. G 30x29x18 cm.,061KRAFT,1433.02,100,061KRAFTP,758.31,50,pzas,bolsa-casa-troquelada-kraft-duq-g-30x29x18-cm.jpg,TRUE
88,Bolsa c/asa Troquelada Kraft Duq. M 29x26x15 cm.,Papel Kraft,Bolsas,Bolsa c/asa Troquelada Kraft Duq. M 29x26x15 cm.,060KRAFT,1501.20,100,060KRAFTP,866.60,50,pzas,bolsa-casa-troquelada-kraft-duq-m-29x26x15-cm.jpg,TRUE
89,Bolsa c/asa Troquelada Kraft Duq. Mini 17x17x8 cm.,Papel Kraft,Bolsas,Bolsa c/asa Troquelada Kraft Duq. Mini 17x17x8 cm.,059.0KRAFT,1091.72,100,059.0KRAFTP,630.22,50,pzas,bolsa-casa-troquelada-kraft-duq-mini-17x17x8-cm.jpg,TRUE
90,Bolsa c/asa Troquelada Kraft Duq. XG 38x36x21 cm.,Papel Kraft,Bolsas,Bolsa c/asa Troquelada Kraft Duq. XG 38x36x21 cm.,062KRAFT,1924.30,100,062KRAFTP,1110.85,50,pzas,bolsa-casa-troquelada-kraft-duq-xg-38x36x21-cm.jpg,TRUE
91,Bolsa Multiuso c/cierre Stand Up Kraft/ventana 1 Kg,Papel Kraft,Bolsas,Bolsa Multiuso c/cierre Stand Up Kraft/ventana 1 Kg,058KRAFT,1527.56,100,058KRAFTP,881.82,50,Pzas,bolsa-multiuso-ccierre-stand-up-kraftventana-1-kg.jpg,TRUE
92,Bolsa Multiuso c/cierre Stand Up Kraft/ventana 1/2 Kg,Papel Kraft,Bolsas,Bolsa Multiuso c/cierre Stand Up Kraft/ventana 1/2 Kg,057KRAFT,897.64,100,057KRAFTP,518.18,50,Pzas,bolsa-multiuso-ccierre-stand-up-kraftventana-12-kg.jpg,TRUE
93,Bolsa Multiuso c/cierre Stand Up Kraft/ventana 130 Grs.,Papel Kraft,Bolsas,Bolsa Multiuso c/cierre Stand Up Kraft/ventana 130 Grs.,055KRAFT,551.18,100,055KRAFTP,318.18,50,Pzas,bolsa-multiuso-ccierre-stand-up-kraftventana-130-grs.jpg,TRUE
94,Bolsa Multiuso c/cierre Stand Up Kraft/ventana 250 Grs.,Papel Kraft,Bolsas,Bolsa Multiuso c/cierre Stand Up Kraft/ventana 250 Grs.,056KRAFT,740.16,100,056KRAFTP,427.27,,Pzas,bolsa-multiuso-ccierre-stand-up-kraftventana-250-grs.jpg,TRUE
